Transaction_Amount,Transaction_Hour,If_tran_amount_less_than_10k,Is_Business_Hour,Is_Night_Hour,Is_Round_Amount
7557.690655878263,8,1,0,0,0
4379.795295166735,5,1,0,1,0
7997.557310051623,16,1,1,0,0
8298.839349876025,6,1,0,0,0
9213.924176307555,7,1,0,0,0
7521.535167410295,15,1,1,0,0
6517.09558841636,18,1,0,0,0
511.5297317398314,11,1,1,0,0
7640.491051341738,8,1,0,0,0
5814.485110378766,12,1,1,0,0
945.4045955807816,15,1,1,0,0
5825.452091446444,21,1,0,0,0
2073.6707273861966,16,1,1,0,0
9098.51292206918,14,1,1,0,0
7410.79795177201,16,1,1,0,0
8517.294993052072,15,1,1,0,0
9373.67758957578,13,1,1,0,0
945.39919199536,14,1,1,0,0
6045.17306697566,18,1,0,0,0
8235.012645157329,17,1,1,0,0
5531.915780939836,19,1,0,0,0
6196.429699816633,20,1,0,0,0
2008.919288919289,14,1,1,0,1
3589.686959633821,9,1,1,0,0
277.76489326274435,11,1,1,0,0
4110.11157312838,7,1,0,0,0
5017.263193831241,9,1,1,0,0
2072.032006176232,14,1,1,0,0
1224.9821370588254,19,1,0,0,0
4819.38661365694,6,1,0,0,0
2396.0443044520407,11,1,1,0,0
7431.828788978531,0,1,0,1,0
2088.8213515469865,9,1,1,0,0
5725.686864417834,13,1,1,0,0
5813.570907934534,15,1,1,0,0
6823.030263795352,21,1,0,0,0
1780.4335024615657,5,1,0,1,0
2767.897924831207,11,1,1,0,0
3979.5226625817554,15,1,1,0,0
917.3817923912088,7,1,0,0,0
6408.6540475698985,17,1,1,0,0
697.4252794225911,21,1,0,0,0
30150.93774898536,17,0,1,0,0
9984.753424391138,16,1,1,0,0
8201.147824892618,10,1,1,0,0
2099.753101516248,8,1,0,0,0
8876.3504124764,13,1,1,0,0
6354.3221039380005,5,1,0,1,0
4513.227117737633,6,1,0,0,0
6630.274011738766,13,1,1,0,0
5417.439114558281,14,1,1,0,0
2408.32360121958,16,1,1,0,0
8966.434758295238,17,1,1,0,0
7726.563809841344,22,1,0,1,0
319.00103658554383,10,1,1,0,0
13878.08494395951,16,0,1,0,0
3611.881017884408,19,1,0,0,0
6620.088752548753,7,1,0,0,0
5777.702908984402,1,1,0,1,0
3232.609138525846,18,1,0,0,0
1483.0938925246664,1,1,0,1,0
4215.75475499656,23,1,0,1,0
3906.322039878333,18,1,0,0,0
40845.441926832886,14,0,1,0,0
9510.05247226916,5,1,0,1,0
8281.102457000536,9,1,1,0,0
7318.749225816826,11,1,1,0,0
6591.969775773861,8,1,0,0,0
2014.934110090169,19,1,0,0,0
6718.200629910126,14,1,1,0,0
7065.509150002855,17,1,1,0,0
8226.891090244197,4,1,0,1,0
18582.26085320009,9,0,1,0,0
5909.140227288683,18,1,0,0,0
1273.0574709981022,13,1,1,0,0
28809.963413150173,17,0,1,0,0
5218.979671433858,9,1,1,0,0
6793.127565365824,2,1,0,1,0
5681.976025527428,3,1,0,1,0
8814.235830512229,9,1,1,0,0
7231.081202007226,17,1,1,0,0
3581.575487974243,9,1,1,0,0
7513.986230367085,18,1,0,0,0
29028.16312756225,10,0,1,0,0
8747.11568176338,23,1,0,1,0
6807.025925514197,6,1,0,0,0
3848.784516897896,16,1,1,0,0
7310.143087108156,6,1,0,0,0
3256.462634560953,0,1,0,1,0
1718.7228147191404,7,1,0,0,0
8639.62143799974,20,1,0,0,0
9696.21257879701,13,1,1,0,0
6270.18957978091,9,1,1,0,0
289.5150483006863,13,1,1,0,0
2723.5806546732792,15,1,1,0,0
8054.260048804807,12,1,1,0,0
2936.471854817888,14,1,1,0,0
299.34456674902003,13,1,1,0,0
6618.014711283754,11,1,1,0,0
3618.4940005668473,9,1,1,0,0
5365.604544795083,19,1,0,0,0
4383.961341829409,16,1,1,0,0
5323.479238128559,11,1,1,0,0
2357.7616625224828,12,1,1,0,0
7553.810324894894,5,1,0,1,0
1795.9416655538575,16,1,1,0,0
7671.579406005528,4,1,0,1,0
9634.939917922611,23,1,0,1,0
7588.975438020041,17,1,1,0,0
7644.894173310219,14,1,1,0,0
486.1245591311367,9,1,1,0,0
3349.3971287563595,16,1,1,0,0
7939.6220822060195,7,1,0,0,0
6773.215795511487,11,1,1,0,0
47538.7284946325,5,0,0,1,0
709.8574464101531,15,1,1,0,0
3835.372576102856,12,1,1,0,0
1511.5394322668146,11,1,1,0,0
2066.38266670742,20,1,0,0,0
6490.14459410776,14,1,1,0,0
3825.1106760375214,16,1,1,0,0
892.5476216342305,10,1,1,0,0
5937.727728120934,7,1,0,0,0
4246.9249618251015,14,1,1,0,0
214.09601311050105,12,1,1,0,0
6809.672869869128,11,1,1,0,0
9009.923428680142,22,1,0,1,1
4277.717141003499,11,1,1,0,0
971.171666335866,11,1,1,0,0
5053.058158087834,11,1,1,0,0
4468.17465948893,5,1,0,1,0
1814.5253102392403,14,1,1,0,0
452.5246755508578,9,1,1,0,0
2220.1307258691704,15,1,1,0,0
3312.2913201234096,15,1,1,0,0
728.9401162743701,14,1,1,0,0
2164.045581623267,19,1,0,0,0
5811.924956334837,16,1,1,0,0
3826.610868725813,15,1,1,0,0
7332.709400858297,13,1,1,0,0
1686.0732240664358,10,1,1,0,0
2507.161518703596,5,1,0,1,0
3264.916687615217,10,1,1,0,0
6811.68189418217,14,1,1,0,0
486.0215284790498,15,1,1,0,0
5173.263720177513,16,1,1,0,0
8222.886172965778,14,1,1,0,0
3440.4599074669027,23,1,0,1,0
5453.317380601904,15,1,1,0,0
6561.533721625708,22,1,0,1,0
47336.5328179822,16,0,1,0,0
4857.934832264536,17,1,1,0,0
668.1218606702198,13,1,1,0,0
9655.531661217328,14,1,1,0,0
5055.679629629066,6,1,0,0,0
9465.202543263362,17,1,1,0,0
6925.625308461424,4,1,0,1,0
1615.9774063310824,10,1,1,0,0
6446.720417931558,14,1,1,0,0
8972.04523635216,2,1,0,1,0
7400.595250284709,20,1,0,0,0
6250.551848517346,11,1,1,0,0
2655.007559773632,23,1,0,1,0
4910.918888102472,17,1,1,0,0
1320.3861312802749,9,1,1,0,0
4677.8600321279,9,1,1,0,0
2652.98008491786,19,1,0,0,0
4309.333807647732,13,1,1,0,0
7790.992298697567,10,1,1,0,0
3380.0556132708025,12,1,1,0,0
2323.3631422828817,10,1,1,0,0
648.0068278733158,16,1,1,0,0
3116.0187979315056,11,1,1,0,0
109.33886773428011,13,1,1,0,0
3237.0340592964644,16,1,1,0,0
3859.160325378324,15,1,1,0,0
551.8769317280967,17,1,1,0,0
9775.842518956855,17,1,1,0,0
7190.904575069202,14,1,1,0,0
9534.980539216347,10,1,1,0,0
2542.5527171864032,21,1,0,0,0
6899.89449864882,10,1,1,0,0
49980.207588340665,12,0,1,0,0
4480.758051151167,3,1,0,1,0
4537.91032910191,19,1,0,0,0
8126.887073397384,15,1,1,0,0
6381.731351330457,9,1,1,0,0
1127.906083112072,18,1,0,0,0
1730.540976988568,13,1,1,0,0
5745.270406502034,10,1,1,0,0
2047.016465199636,8,1,0,0,0
9511.699033832516,11,1,1,0,0
7416.023994823849,17,1,1,0,0
20200.146100043028,15,0,1,0,0
5124.83513859742,17,1,1,0,0
1507.0153884314375,20,1,0,0,0
6614.553856541214,10,1,1,0,0
7819.988028444619,19,1,0,0,0
7237.720088228033,13,1,1,0,0
4290.594591972502,13,1,1,0,0
3081.173136856124,16,1,1,0,0
4528.935019185377,9,1,1,0,0
3443.3674196782526,11,1,1,0,0
1448.7443438454889,16,1,1,0,0
7469.233019423944,11,1,1,0,0
341.80171422932824,9,1,1,0,0
3997.4260603954185,9,1,1,0,0
6595.346031204927,9,1,1,0,0
7819.446930815664,2,1,0,1,0
8692.327960169496,14,1,1,0,0
734.473544547101,8,1,0,0,0
2440.865156250837,21,1,0,0,0
6793.481686984721,20,1,0,0,0
6206.959565001472,13,1,1,0,0
2779.104381677498,17,1,1,0,0
32421.57409667084,17,0,1,0,0
9087.290159624452,9,1,1,0,0
4594.162048220341,11,1,1,0,0
5662.019989834738,20,1,0,0,0
8994.851425676234,13,1,1,0,0
5877.611851211783,2,1,0,1,0
6274.432797068826,21,1,0,0,0
843.351999826803,9,1,1,0,0
2762.765710503032,11,1,1,0,0
498.5139717883886,18,1,0,0,0
343.95496149495807,19,1,0,0,0
5981.299951270786,11,1,1,0,0
5829.110359487633,19,1,0,0,0
7098.360249324134,2,1,0,1,0
6612.010670265454,9,1,1,0,0
3288.2756150557148,12,1,1,0,0
4215.866228422842,8,1,0,0,0
2753.561980505652,9,1,1,0,0
3178.3219386706464,9,1,1,0,0
430.8599435390517,17,1,1,0,0
3510.263838707832,9,1,1,0,0
2279.0593883113165,15,1,1,0,0
6620.4082593959365,10,1,1,0,0
7250.775352057072,19,1,0,0,0
1063.9322414401336,8,1,0,0,0
4593.738488340764,10,1,1,0,0
1595.3220707391315,21,1,0,0,0
3010.339543701441,7,1,0,0,0
6585.564600076422,12,1,1,0,0
32827.58646307392,17,0,1,0,0
4836.583102991066,20,1,0,0,0
1852.937246177772,16,1,1,0,0
1952.3431527935568,17,1,1,0,0
9365.406377938598,21,1,0,0,0
1420.688305344227,9,1,1,0,0
5406.817930440448,19,1,0,0,0
6666.112713380116,11,1,1,0,0
2000.8393310806744,20,1,0,0,1
9037.75755740548,16,1,1,0,0
3375.5595480163743,0,1,0,1,0
7160.410148720428,0,1,0,1,0
982.2427535164484,8,1,0,0,0
1131.7213229998335,21,1,0,0,0
7207.622349279188,16,1,1,0,0
8910.162878652089,13,1,1,0,0
8979.356369418305,15,1,1,0,0
2574.3439552897667,11,1,1,0,0
8302.976053839046,11,1,1,0,0
1657.8213035807632,16,1,1,0,0
7510.839172615254,16,1,1,0,0
6902.9327659173005,16,1,1,0,0
6713.374766912826,20,1,0,0,0
6573.888797839039,13,1,1,0,0
5266.134288620107,15,1,1,0,0
3821.739125876548,8,1,0,0,0
6413.326230129511,14,1,1,0,0
6519.549214354894,12,1,1,0,0
3489.369325505714,20,1,0,0,0
6669.680865924854,2,1,0,1,0
303.7659090341484,12,1,1,0,0
1514.0749939910013,9,1,1,0,0
4998.282094893808,21,1,0,0,0
8213.982650523765,1,1,0,1,0
5294.358077210517,11,1,1,0,0
3969.5784534686895,9,1,1,0,0
5595.269355069812,7,1,0,0,0
8495.433317419722,19,1,0,0,0
7770.323323199182,13,1,1,0,0
298.68478680171336,16,1,1,0,0
9041.505586543011,16,1,1,0,0
9098.246323884625,22,1,0,1,0
1946.346734448157,20,1,0,0,0
4234.485591592431,9,1,1,0,0
7044.139605403679,11,1,1,0,0
3852.651987803497,21,1,0,0,0
2965.739366820105,15,1,1,0,0
1761.1966823000373,16,1,1,0,0
7845.233115094386,15,1,1,0,0
9668.916053713285,22,1,0,1,0
1157.2201689193976,14,1,1,0,0
8177.146359421131,17,1,1,0,0
1220.875879042082,14,1,1,0,0
3348.6487002135614,13,1,1,0,0
4558.018468844068,8,1,0,0,0
1143.0073653612285,12,1,1,0,0
4594.04613096582,19,1,0,0,0
4649.9046353746,13,1,1,0,0
6789.971135605225,10,1,1,0,0
8313.61411489759,15,1,1,0,0
1403.8470679044472,11,1,1,0,0
1551.3375013252787,22,1,0,1,0
4730.338728249079,2,1,0,1,0
7409.908722378881,3,1,0,1,0
29255.3084699371,10,0,1,0,0
8785.985079178135,9,1,1,0,0
3225.838424218761,17,1,1,0,0
3723.3138026247534,13,1,1,0,0
3027.657309906641,7,1,0,0,0
1168.7202738491612,15,1,1,0,0
9192.444629856456,13,1,1,0,0
6722.652117220843,14,1,1,0,0
2814.456288049485,23,1,0,1,0
5152.771208652895,4,1,0,1,0
881.4211497679534,10,1,1,0,0
7064.22703945697,18,1,0,0,0
4331.491162322055,15,1,1,0,0
5199.887846542178,8,1,0,0,0
9231.176973911975,15,1,1,0,0
6805.00693436093,21,1,0,0,0
9669.702118370034,6,1,0,0,0
8791.653743647279,22,1,0,1,0
28212.736402477138,10,0,1,0,0
2578.3010640218986,10,1,1,0,0
5611.395877944891,16,1,1,0,0
9416.154923270837,7,1,0,0,0
5829.6080629137,15,1,1,0,0
4565.736560928833,8,1,0,0,0
3599.073526295821,7,1,0,0,0
6033.061918192398,17,1,1,0,0
3237.2109290419926,22,1,0,1,0
3892.00369092269,21,1,0,0,0
1061.9501118368378,10,1,1,0,0
596.6857928174227,12,1,1,0,0
3416.24983401123,13,1,1,0,0
6373.820735713401,15,1,1,0,0
2192.9580229312214,12,1,1,0,0
2853.343896803768,15,1,1,0,0
4359.967076348129,3,1,0,1,0
6070.602731607777,18,1,0,0,0
4994.266596250854,10,1,1,0,0
2957.153846525292,11,1,1,0,0
39184.2659694137,5,0,0,1,0
8135.709132304271,13,1,1,0,0
8508.669975228557,19,1,0,0,0
5402.785118544239,6,1,0,0,0
289.2302187602341,13,1,1,0,0
1485.7350421687306,15,1,1,0,0
8487.390484055855,9,1,1,0,0
1322.0302216567052,12,1,1,0,0
9510.060147534869,2,1,0,1,0
6417.783484487013,17,1,1,0,0
322.7703372165673,16,1,1,0,0
49441.11712785719,9,0,1,0,0
5255.5534872402695,22,1,0,1,0
7095.054322792697,11,1,1,0,0
3450.879599432756,19,1,0,0,0
21421.002868613585,23,0,0,1,0
2110.195799315695,2,1,0,1,0
6891.616332886576,23,1,0,1,0
8559.164645308383,14,1,1,0,0
20581.851449041667,14,0,1,0,0
7980.282332904283,12,1,1,0,0
6878.153877110851,3,1,0,1,0
9209.029965149237,9,1,1,0,0
6904.937486453646,21,1,0,0,0
6727.251369506884,11,1,1,0,0
9433.863159030028,16,1,1,0,0
6919.275604993848,5,1,0,1,0
7694.396872129225,19,1,0,0,0
1086.5731646380043,5,1,0,1,0
9400.100022543907,21,1,0,0,0
4146.059559700056,7,1,0,0,0
884.4918510801654,17,1,1,0,0
8092.850095969055,11,1,1,0,0
2463.403781980552,6,1,0,0,0
2330.412289587276,23,1,0,1,0
2819.567371117724,19,1,0,0,0
3839.810759879264,15,1,1,0,0
4008.197293211857,11,1,1,0,1
3617.0121782280366,17,1,1,0,0
4343.721305744706,9,1,1,0,0
8732.977925027406,10,1,1,0,0
3302.570151382938,13,1,1,0,0
3664.139561953784,0,1,0,1,0
1440.9139547306445,23,1,0,1,0
7514.341273291669,8,1,0,0,0
8188.1964303269215,3,1,0,1,0
4805.579410972918,23,1,0,1,0
39968.68660363593,10,0,1,0,0
5108.217446109309,16,1,1,0,0
6123.811472422322,22,1,0,1,0
4061.701318635903,22,1,0,1,0
3360.525386821248,18,1,0,0,0
879.0282867592553,16,1,1,0,0
6132.898998242733,10,1,1,0,0
2770.955308549194,3,1,0,1,0
5896.732482654991,19,1,0,0,0
6327.634910900607,16,1,1,0,0
6525.975097860809,16,1,1,0,0
6264.003765862045,16,1,1,0,0
1480.849726594562,13,1,1,0,0
8774.417958038457,10,1,1,0,0
343.38588602567614,6,1,0,0,0
9132.689551826415,5,1,0,1,0
7161.447550671184,16,1,1,0,0
4715.897888691266,14,1,1,0,0
3934.1056054376336,0,1,0,1,0
7145.344054080137,8,1,0,0,0
8765.22071177763,13,1,1,0,0
4803.097704460239,9,1,1,0,0
